Sr_no,Work_Name,District,Panchayat,Gram_Panch,Village,Activity,Latitude,Longitude,Ar,Length,Depth,ref
10511,Percolation Tank,BHILWARA,MANDAL,MOTA KA KHERA,Mota Ka Khera,Percolation Tank,25.638869,74.136818,10500,,1,one
305,Anicut,BHILWARA,BANERA,BERAN,Beran,Anicut,25.56028731,74.57921344,30500,18,1,four
9611,Percolation Tank,BHILWARA,KOTRI,BAN KA KHERA,Ban Ka Khera,Percolation Tank,25.31282939,74.83523973,10000,314,1,five
13326,Talab,BHILWARA,ASIND,KATAR,Dhaneri,Talab,25.67709019,74.23346641,35284,115,1,six
20639,Anicut,BHILWARA,MANDAL,BAGOR,Bagor,Unknown,25.38450127,74.40142623,,,,
19079,WHS,BHILWARA,RAIPUR,KOT,Chhatol,WHS,25.38440072,74.07284055,1200,,1.5,eight
13482,Talab,BHILWARA,RAIPUR,THALA,Thala,Talab,25.44152,74.19388,,,,
16154,WHS,BHILWARA,Jahazpur,PANDER,Kanjar Colony,WHS,25.62108392,75.16316228,1200,,1.5,ten
16828,WHS,BHILWARA,BANERA,BERAN,Surajpura,WHS,25.58378241,74.61457152,1200,,1.5,eleven
13025,Talab,BHILWARA,KOTRI,REETH,Reeth,Talab,25.41373561,74.84937615,30000,,1,twelve
20744,WHS,BHILWARA,KOTRI,LASARIYA,Lasariya,Unknown,25.3558014,74.82334832,,,,
18656,WHS,BHILWARA,Suwana,PEEPLI,Patliyas,WHS,25.25903268,74.70302263,1200,,1.5,fourteen
13037,Talab,BHILWARA,ASIND,NEGARIYA,Khatola,Talab,25.71612871,74.34099986,444503,,1,fifteen
19164,WHS,BHILWARA,SHAHPURA,TASWARIYA KHURD,Karamdas,WHS,25.49821689,74.79886982,1200,775,1.5,sixteen
18996,WHS,BHILWARA,SHAHPURA,DABLA KACHRA,Dabla Kachra,WHS,25.59493752,74.98400228,1200,,1.5,seventeen
9538,Percolation Tank,BHILWARA,RAIPUR,RAIPUR,Kemooniya,Percolation Tank,25.38437404,74.18998494,10000,,1,eighteen
16310,WHS,BHILWARA,SHAHPURA,MINDOLIYA,Petaummaidsagar,WHS,25.56637873,74.91557202,1200,,1.5,nineteen
17229,WHS,BHILWARA,KOTRI,BISHNIYA,Bishniya,WHS,25.55810645,75.03771062,1200,,1.5,twenty
13701,Nalah,BHILWARA,KOTRI,SUTHEPA,Jeetya,Nalah,25.21958349,74.85457861,1200,,1.5,twentyone
